price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,prefarea,furnishingstatus,total_building_area
2870000,5400,4,1,2,yes,no,no,no,no,no,unfurnished,10800
2852500,5200,4,1,3,yes,no,no,no,no,no,unfurnished,15600
2835000,3300,3,1,2,no,no,no,no,no,no,semi-furnished,6600
2835000,4350,3,1,2,no,no,no,yes,no,no,unfurnished,8700
2835000,2640,2,1,1,no,no,no,no,no,no,furnished,2640
2800000,2650,3,1,2,yes,no,yes,no,no,no,unfurnished,5300
2800000,3960,3,1,1,yes,no,no,no,no,no,furnished,3960
2730000,6800,2,1,1,yes,no,no,no,no,no,unfurnished,6800
2730000,4000,3,1,2,yes,no,no,no,no,no,unfurnished,8000
2695000,4000,2,1,1,yes,no,no,no,no,no,unfurnished,4000
2660000,3934,2,1,1,yes,no,no,no,no,no,unfurnished,3934
2660000,2000,2,1,2,yes,no,no,no,no,no,semi-furnished,4000
2660000,3630,3,3,2,no,yes,no,no,no,no,unfurnished,7260
2660000,2800,3,1,1,yes,no,no,no,no,no,unfurnished,2800
2660000,2430,3,1,1,no,no,no,no,no,no,unfurnished,2430
2660000,3480,2,1,1,yes,no,no,no,no,no,semi-furnished,3480
2660000,4000,3,1,1,yes,no,no,no,no,no,semi-furnished,4000
2653000,3185,2,1,1,yes,no,no,no,yes,no,unfurnished,3185
2653000,4000,3,1,2,yes,no,no,no,yes,no,unfurnished,8000
2604000,2910,2,1,1,no,no,no,no,no,no,unfurnished,2910
2590000,3600,2,1,1,yes,no,no,no,no,no,unfurnished,3600
2590000,4400,2,1,1,yes,no,no,no,no,no,unfurnished,4400
2590000,3600,2,2,2,yes,no,yes,no,no,no,furnished,7200
2520000,2880,3,1,1,no,no,no,no,no,no,unfurnished,2880
2520000,3180,3,1,1,no,no,no,no,no,no,unfurnished,3180
2520000,3000,2,1,2,yes,no,no,no,no,no,furnished,6000
2485000,4400,3,1,2,yes,no,no,no,no,no,unfurnished,8800
2485000,3000,3,1,2,no,no,no,no,no,no,semi-furnished,6000
2450000,3210,3,1,2,yes,no,yes,no,no,no,unfurnished,6420
2450000,3240,2,1,1,no,yes,no,no,no,no,unfurnished,3240
2450000,3000,2,1,1,yes,no,no,no,no,no,unfurnished,3000
2450000,3500,2,1,1,yes,yes,no,no,no,no,unfurnished,3500
2450000,4840,2,1,2,yes,no,no,no,no,no,unfurnished,9680
2450000,7700,2,1,1,yes,no,no,no,no,no,unfurnished,7700
2408000,3635,2,1,1,no,no,no,no,no,no,unfurnished,3635
2380000,2475,3,1,2,yes,no,no,no,no,no,furnished,4950
2380000,2787,4,2,2,yes,no,no,no,no,no,furnished,5574
2380000,3264,2,1,1,yes,no,no,no,no,no,unfurnished,3264
2345000,3640,2,1,1,yes,no,no,no,no,no,unfurnished,3640
2310000,3180,2,1,1,yes,no,no,no,no,no,unfurnished,3180
2275000,1836,2,1,1,no,no,yes,no,no,no,semi-furnished,1836
2275000,3970,1,1,1,no,no,no,no,no,no,unfurnished,3970
2275000,3970,3,1,2,yes,no,yes,no,no,no,unfurnished,7940
2240000,1950,3,1,1,no,no,no,yes,no,no,unfurnished,1950
2233000,5300,3,1,1,no,no,no,no,yes,yes,unfurnished,5300
2135000,3000,2,1,1,no,no,no,no,no,no,unfurnished,3000
2100000,2400,3,1,2,yes,no,no,no,no,no,unfurnished,4800
2100000,3000,4,1,2,yes,no,no,no,no,no,unfurnished,6000
2100000,3360,2,1,1,yes,no,no,no,no,no,unfurnished,3360
1890000,1700,3,1,2,yes,no,no,no,no,no,unfurnished,3400
1890000,3649,2,1,1,yes,no,no,no,no,no,unfurnished,3649
1855000,2990,2,1,1,no,no,no,no,no,no,unfurnished,2990
1820000,3000,2,1,1,yes,no,yes,no,no,no,unfurnished,3000
1767150,2400,3,1,1,no,no,no,no,no,no,semi-furnished,2400
1750000,3620,2,1,1,yes,no,no,no,no,no,unfurnished,3620
1750000,2910,3,1,1,no,no,no,no,no,no,furnished,2910
1750000,3850,3,1,2,yes,no,no,no,no,no,unfurnished,7700
